send   position_data-->[2018-07-13 15:36:53]:eplrs_t_r_0(192.168.1.6)-->mse_t_v_12(127.0.0.1):   经度:116.230°,纬度:39.540°,高度:12.300km
receive position_data-->[2018-07-13 15:36:53]:eplrs_t_r_0(127.0.0.1)-->eplrs_t_r_0(192.168.1.6):   经度:116.230°,纬度:39.540°,高度:12.300km
send   position_data-->[2018-07-13 15:36:53]:eplrs_t_r_0(192.168.1.6)-->mse_t_v_12(127.0.0.1):   经度:116.230°,纬度:39.540°,高度:12.300km
receive position_data-->[2018-07-13 15:36:53]:eplrs_t_r_0(127.0.0.1)-->eplrs_t_r_0(192.168.1.6):   经度:116.230°,纬度:39.540°,高度:12.300km
send   position_data-->[2018-07-13 15:36:53]:eplrs_t_r_0(192.168.1.6)-->mse_t_v_12(127.0.0.1):   经度:116.230°,纬度:39.540°,高度:12.300km
receive position_data-->[2018-07-13 15:36:53]:eplrs_t_r_0(127.0.0.1)-->eplrs_t_r_0(192.168.1.6):   经度:116.230°,纬度:39.540°,高度:12.300km
send   position_data-->[2018-07-13 15:36:53]:eplrs_t_r_0(192.168.1.6)-->mse_t_v_12(127.0.0.1):   经度:116.230°,纬度:39.540°,高度:12.300km
receive position_data-->[2018-07-13 15:36:53]:eplrs_t_r_0(127.0.0.1)-->eplrs_t_r_0(192.168.1.6):   经度:116.230°,纬度:39.540°,高度:12.300km
send   position_data-->[2018-07-13 15:36:53]:eplrs_t_r_0(192.168.1.6)-->mse_t_v_12(127.0.0.1):   经度:116.230°,纬度:39.540°,高度:12.300km
receive position_data-->[2018-07-13 15:36:53]:eplrs_t_r_0(127.0.0.1)-->eplrs_t_r_0(192.168.1.6):   经度:116.230°,纬度:39.540°,高度:12.300km
send   position_data-->[2018-07-13 15:36:53]:eplrs_t_r_0(192.168.1.6)-->mse_t_v_12(127.0.0.1):   经度:116.230°,纬度:39.540°,高度:12.300km
receive position_data-->[2018-07-13 15:36:53]:eplrs_t_r_0(127.0.0.1)-->eplrs_t_r_0(192.168.1.6):   经度:116.230°,纬度:39.540°,高度:12.300km
send   position_data-->[2018-07-13 15:36:54]:eplrs_t_r_0(192.168.1.6)-->mse_t_v_12(127.0.0.1):   经度:116.230°,纬度:39.540°,高度:12.300km
receive position_data-->[2018-07-13 15:36:54]:eplrs_t_r_0(127.0.0.1)-->eplrs_t_r_0(192.168.1.6):   经度:116.230°,纬度:39.540°,高度:12.300km
send   position_data-->[2018-07-13 16:15:05]:eplrs_t_r_0(192.168.1.6)-->mse_t_v_12(127.0.0.1):   经度:116.230°,纬度:39.540°,高度:12.300km
receive position_data-->[2018-07-13 16:15:05]:eplrs_t_r_0(127.0.0.1)-->eplrs_t_r_0(192.168.1.6):   经度:116.230°,纬度:39.540°,高度:12.300km
send   position_data-->[2018-07-13 16:15:06]:eplrs_t_r_0(192.168.1.6)-->mse_t_v_12(127.0.0.1):   经度:116.230°,纬度:39.540°,高度:12.300km
receive position_data-->[2018-07-13 16:15:06]:eplrs_t_r_0(127.0.0.1)-->eplrs_t_r_0(192.168.1.6):   经度:116.230°,纬度:39.540°,高度:12.300km
send   position_data-->[2018-07-13 16:15:06]:eplrs_t_r_0(192.168.1.6)-->mse_t_v_12(127.0.0.1):   经度:116.230°,纬度:39.540°,高度:12.300km
receive position_data-->[2018-07-13 16:15:06]:eplrs_t_r_0(127.0.0.1)-->eplrs_t_r_0(192.168.1.6):   经度:116.230°,纬度:39.540°,高度:12.300km
send   position_data-->[2018-07-13 16:15:07]:eplrs_t_r_0(192.168.1.6)-->mse_t_v_12(127.0.0.1):   经度:116.230°,纬度:39.540°,高度:12.300km
receive position_data-->[2018-07-13 16:15:07]:eplrs_t_r_0(127.0.0.1)-->eplrs_t_r_0(192.168.1.6):   经度:116.230°,纬度:39.540°,高度:12.300km
send   position_data-->[2018-07-13 16:41:19]:eplrs_t_r_0(192.168.1.6)-->mse_t_v_12(127.0.0.1):   经度:116.230°,纬度:39.540°,高度:12.300km
receive position_data-->[2018-07-13 16:41:19]:eplrs_t_r_0(127.0.0.1)-->eplrs_t_r_0(192.168.1.6):   经度:116.230°,纬度:39.540°,高度:12.300km
send   position_data-->[2018-07-13 16:42:50]:eplrs_t_r_0(192.168.1.6)-->mse_t_v_12(127.0.0.1):   经度:116.230°,纬度:39.540°,高度:12.300km
receive position_data-->[2018-07-13 16:42:50]:eplrs_t_r_0(127.0.0.1)-->eplrs_t_r_0(192.168.1.6):   经度:116.230°,纬度:39.540°,高度:12.300km
send   position_data-->[2018-07-13 16:42:57]:eplrs_t_r_0(192.168.1.6)-->mse_t_v_12(127.0.0.1):   经度:116.230°,纬度:39.540°,高度:12.300km
receive position_data-->[2018-07-13 16:42:57]:eplrs_t_r_0(127.0.0.1)-->eplrs_t_r_0(192.168.1.6):   经度:116.230°,纬度:39.540°,高度:12.300km
send   position_data-->[2018-07-13 16:43:24]:eplrs_t_r_0(192.168.1.6)-->mse_t_v_12(127.0.0.1):   经度:116.230°,纬度:39.540°,高度:12.300km
receive position_data-->[2018-07-13 16:43:24]:eplrs_t_r_0(127.0.0.1)-->eplrs_t_r_0(192.168.1.6):   经度:116.230°,纬度:39.540°,高度:12.300km
send   position_data-->[2018-07-13 16:43:25]:eplrs_t_r_0(192.168.1.6)-->mse_t_v_12(127.0.0.1):   经度:116.230°,纬度:39.540°,高度:12.300km
receive position_data-->[2018-07-13 16:43:25]:eplrs_t_r_0(127.0.0.1)-->eplrs_t_r_0(192.168.1.6):   经度:116.230°,纬度:39.540°,高度:12.300km
send   position_data-->[2018-07-13 16:45:42]:eplrs_t_r_0(192.168.1.6)-->mse_t_v_12(127.0.0.1):   经度:116.230°,纬度:39.540°,高度:12.300km
receive position_data-->[2018-07-13 16:45:42]:eplrs_t_r_0(127.0.0.1)-->eplrs_t_r_0(192.168.1.6):   经度:116.230°,纬度:39.540°,高度:12.300km
send   position_data-->[2018-07-13 16:45:42]:eplrs_t_r_0(192.168.1.6)-->mse_t_v_12(127.0.0.1):   经度:116.230°,纬度:39.540°,高度:12.300km
receive position_data-->[2018-07-13 16:45:42]:eplrs_t_r_0(127.0.0.1)-->eplrs_t_r_0(192.168.1.6):   经度:116.230°,纬度:39.540°,高度:12.300km
send   position_data-->[2018-07-13 16:47:18]:eplrs_t_r_0(192.168.1.6)-->mse_t_v_12(127.0.0.1):   经度:116.230°,纬度:39.540°,高度:12.300km
receive position_data-->[2018-07-13 16:47:18]:eplrs_t_r_0(127.0.0.1)-->eplrs_t_r_0(192.168.1.6):   经度:116.230°,纬度:39.540°,高度:12.300km
send   position_data-->[2018-07-13 16:47:19]:eplrs_t_r_0(192.168.1.6)-->mse_t_v_12(127.0.0.1):   经度:116.230°,纬度:39.540°,高度:12.300km
receive position_data-->[2018-07-13 16:47:19]:eplrs_t_r_0(127.0.0.1)-->eplrs_t_r_0(192.168.1.6):   经度:116.230°,纬度:39.540°,高度:12.300km
